CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
2,Male,21,15,81,2
4,Female,23,16,77,2
6,Female,22,17,76,2
8,Female,23,18,94,2
10,Female,30,19,72,2
12,Female,35,19,99,2
14,Female,24,20,77,2
16,Male,22,20,79,2
18,Male,20,21,66,2
20,Female,35,23,98,2
22,Male,25,24,73,2
24,Male,31,25,73,2
26,Male,29,28,82,2
28,Male,35,28,61,2
30,Female,23,29,87,2
32,Female,21,30,73,2
34,Male,18,33,92,2
36,Female,21,33,81,2
38,Female,30,34,73,2
40,Female,20,37,75,2
42,Male,24,38,92,2
44,Female,31,39,61,2
46,Female,24,39,65,2
52,Male,33,42,60,2
53,Female,31,43,54,2
