att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,att131,att132,att133,att134,att135,att136,att137,att138,att139,att140,target,is_anomaly,predicted_label,anomaly
-1.7071109,-3.0806357,-3.6813136,-4.3972801,-4.5421726,-3.2428219,-0.99396911,-0.31237376,-0.33733345,-0.28681212,0.10967235,0.15291123,-0.36682219,-0.48670144,-0.28983947,-0.38247389,-0.12040659,-0.13156044,-0.067828581,0.72573726,0.53538263,-0.374586,-0.2365338,1.2041953,0.54769956,-0.27687627,-0.75162294,-0.76955764,-0.27491811,-0.31208176,0.082722145,0.60384945,0.24312689,0.19453798,0.43186469,0.21481467,0.052604973,0.22758928,-0.69125434,-0.55022414,-0.57401228,-0.17320969,0.53819562,0.64105186,0.44638593,0.24628277,0.2323164,0.29035062,0.032703553,-0.53596204,-0.35341535,0.1763502,-0.17325522,-0.59475152,-0.10248359,0.28361941,1.2708981,1.0783341,0.74229858,0.25209543,-0.3684851,0.27074275,0.27974032,-0.32632273,-0.073165583,0.75940361,0.49163522,0.20026166,0.58605904,0.53188195,-0.19457062,0.39417016,0.80693795,0.6178093,0.50530289,-0.11294693,-0.17268946,0.47901632,0.38654075,0.69169499,0.40791322,-0.54813243,0.17113594,1.133605,0.87814036,0.61054093,0.44859234,0.30530684,0.053575054,-0.52209588,0.02762402,0.53156033,0.29939361,0.42897213,0.60469096,1.1071396,0.85004535,0.7570999,1.4689318,1.8049045,1.8179325,1.5599873,1.1900389,1.427856,1.6060066,1.4067565,1.1994425,0.86473281,0.91633876,0.78444841,0.49997493,0.2350201,-0.0077893268,-0.7119321,-1.0022804,-0.13128756,-0.10775164,-0.38306238,-0.39395969,-0.10144169,-0.013035517,-0.71193869,-0.9312374,-0.52247313,-0.26426632,-0.62395674,0.099275258,0.65380676,0.61604595,0.50812606,0.36401998,0.62356183,0.11063784,-1.3096851,-1.0456658,-0.65998053,-0.90273189,-1.0702141,-0.64112846,-1.9055409,1,0,0,1
4.2616464,2.2687522,-0.13517312,-1.6155002,-2.6350257,-2.5173452,-1.3445367,-0.50195287,-0.46635786,0.30928604,1.295242,1.4284211,1.0305093,1.2658264,1.2197269,1.1623541,1.1958551,1.1785834,1.0670522,1.0532982,0.92289838,0.94391928,0.79591611,0.6187596,0.54872959,0.53715622,0.40467412,0.44028164,0.31227767,0.31551273,0.1552377,-0.077928012,-0.13983176,-0.086093796,-0.19750111,-0.36415571,-0.31949085,-0.31533417,-0.32385738,-0.42034322,-0.25403147,-0.33046539,-0.25017787,-0.12912253,-0.059330853,0.17223465,0.13446304,0.2026669,0.29729142,0.28546294,0.26904572,0.23477945,0.25392351,0.36205587,0.4609496,0.27164833,0.31597063,0.31075273,0.43172218,0.381251,0.31684408,0.38524348,0.42443282,0.3225917,0.38410478,0.42565558,0.31126401,0.36633015,0.36564032,0.32524533,0.47851433,0.5026817,0.50367592,0.54021688,0.53949225,0.53688477,0.43591562,0.41252655,0.3750788,0.32413961,0.30652987,0.42624404,0.42309488,0.21844752,0.26293724,0.12593316,0.024025716,0.1351799,-0.039737955,-0.1699511,-0.17703649,-0.21790778,-0.17685701,-0.35450641,-0.32361227,-0.29346012,-0.43414731,-0.44114054,-0.29966367,-0.28127811,-0.13495443,0.26759991,0.43600345,0.46672097,0.61293151,0.87868261,1.5253635,1.5113888,1.5105716,1.3172791,0.96837703,0.82269237,0.37122399,-0.12953496,-0.79624327,-1.4165726,-1.6126057,-1.7897586,-1.7959502,-1.6882589,-1.8448657,-1.8780652,-1.7358146,-1.9117212,-1.8556408,-1.9373007,-1.9468681,-1.870234,-2.0070413,-2.083276,-1.9271866,-1.7528511,-1.0040007,-0.74044074,-0.31027598,-0.22696381,0.17333553,0.2223119,-0.33014669,0.019938693,1,0,0,1
-0.50162131,-1.0885841,-1.9397493,-3.8884577,-3.9511298,-3.7056505,-2.8737203,-1.9517084,-1.150802,-0.88886891,-0.4511115,-0.12966496,-0.062786364,-0.15013052,-0.30613358,-0.60497228,-0.78008477,-0.68535122,-0.64817681,-0.64254805,-0.56671865,-0.4993034,-0.45560725,-0.49735603,-0.4784027,-0.43096976,-0.34893201,-0.38120151,-0.34435793,-0.28939968,-0.35077581,-0.34159018,-0.35891507,-0.35520397,-0.425725,-0.39905546,-0.45446879,-0.43383121,-0.49751684,-0.59484332,-0.60672001,-0.61033218,-0.59790306,-0.591794,-0.5578858,-0.52713078,-0.54754834,-0.47495141,-0.41804966,-0.37977675,-0.33453388,-0.30220087,-0.29337014,-0.33207313,-0.27696819,-0.26287147,-0.25468554,-0.278847,-0.24986102,-0.32466922,-0.30076046,-0.37536839,-0.28638718,-0.30998513,-0.32541378,-0.29184997,-0.26465758,-0.2709228,-0.23601605,-0.22861508,-0.2254585,-0.20612425,-0.22388702,-0.21851504,-0.14480835,-0.11981557,-0.14737146,-0.03794437,-0.085062979,-0.046366626,-0.033447392,-0.0048851905,0.014000756,0.026848102,0.053281903,0.062308393,0.072059595,0.10268872,0.1307667,0.14254294,0.21226921,0.23912392,0.2407724,0.25707283,0.30228775,0.29489505,0.23629385,0.31484162,0.39681995,0.40840375,0.4633555,0.45886471,0.52610784,0.54410442,0.53603264,0.5562474,0.6370206,0.67599322,0.76511945,0.9740357,1.1480812,1.3256004,1.5865326,1.7036074,1.7635084,1.7330211,1.5713397,1.4124095,1.2507314,0.99159144,0.64598334,0.5496972,0.54583024,0.62844716,0.65994471,0.64974171,0.63196901,0.67307441,0.65684723,0.70476365,0.7768457,0.82811562,1.1967957,1.4450747,1.505033,1.7656167,2.0334675,2.0392521,2.5894742,2.854707,1,0,0,1
2.8564234,0.89537808,-1.4141429,-2.1578965,-2.1146293,-1.8228887,-0.95904294,0.1946267,0.35322396,0.64243103,1.3081026,1.4581311,1.3566785,1.3718057,1.3673677,1.4308346,1.3646163,1.2856054,1.2491694,1.2300823,1.1174722,1.1238558,1.0702262,1.0269404,1.0498628,0.91802943,0.90004434,0.80130621,0.77265861,0.70313737,0.68394279,0.61149572,0.48755954,0.42855981,0.37414476,0.36593427,0.29727371,0.25492952,0.29963349,0.34919025,0.38714855,0.27832079,0.29779288,0.40307365,0.5158218,0.60183501,0.62233176,0.65871021,0.70829894,0.61092688,0.68531575,0.6644804,0.61540535,0.56484218,0.49350577,0.53848626,0.55525337,0.50196644,0.54906215,0.48370709,0.34700616,0.47154908,0.41507923,0.3678039,0.45351983,0.37368966,0.43033686,0.42234904,0.39951848,0.48921049,0.47843861,0.39785693,0.51228979,0.41767274,0.36022248,0.31662003,0.38748328,0.46899898,0.37227477,0.22372856,0.17961649,0.22833734,0.070323968,-0.010981042,-0.090043736,-0.12010608,-0.12604827,-0.20824807,-0.24206858,-0.25149467,-0.38409367,-0.35356988,-0.37395319,-0.36295095,-0.47816343,-0.26815712,-0.20065081,-0.087383059,0.09820686,0.18509402,0.38962047,0.62660498,0.88444807,0.80192123,0.60954375,0.53707158,0.29602317,0.062526765,-0.1616561,-0.5223146,-0.81869338,-1.2678474,-1.4906005,-1.5560638,-1.6708876,-1.7288192,-1.7524571,-1.7340472,-1.7616208,-1.8448168,-1.9251167,-1.909223,-1.9452876,-1.9115018,-1.994331,-1.9449184,-1.9838276,-1.8866611,-1.6060281,-1.1720512,-0.85425587,-1.0267391,-0.88540989,-0.58211818,-0.61218189,-0.97829376,-0.86390044,-0.46592598,-0.3476981,-2.5801396,1,0,0,1
1.0034404,0.7723214,0.1209922,-0.49803113,-0.95322056,-1.2979421,-1.7174494,-1.811079,-1.555743,-1.0954965,-0.74936687,-0.61780024,-0.51767576,-0.15103187,0.19985192,0.34931082,0.33435647,0.32181414,0.39659859,0.32128027,0.31888626,0.40291312,0.39256386,0.44082651,0.39527797,0.3984202,0.37913098,0.39002315,0.29037137,0.38034296,0.30150339,0.33688836,0.30945029,0.20869981,0.2590645,0.30080936,0.25301354,0.21965741,0.16973047,0.15721835,0.17577602,0.14651627,0.048937812,0.027109157,0.018489588,0.0088420048,0.033590949,-0.0080201442,-0.028872885,-0.11678617,-0.16116356,-0.10193755,-0.19710383,-0.2716787,-0.32894404,-0.31679326,-0.26478983,-0.27456559,-0.18381942,-0.18498662,-0.25629261,-0.12396114,-0.13931112,-0.17522536,-0.03025107,-0.02788011,0.11780146,0.096103292,0.19518534,0.19929626,0.14753834,0.31762369,0.32165941,0.36517604,0.39492873,0.35903915,0.43323392,0.40633939,0.45970047,0.40092099,0.48825379,0.5370785,0.49374723,0.46532065,0.52217094,0.57962772,0.54766403,0.55224154,0.61032435,0.51730742,0.60104865,0.6360943,0.61774861,0.6126667,0.63888866,0.71678142,0.68345327,0.67012869,0.74778001,0.67069536,0.75834827,0.80248982,0.77066659,0.81423131,0.83562337,0.87561515,0.83121826,0.84222274,0.88652043,0.92739801,0.98782186,0.93936406,0.89390304,0.94107517,0.98534336,0.99886441,0.9441007,0.98420581,0.95026286,0.82459126,0.75503225,0.5183627,0.42813997,0.36247578,0.23626771,-0.17288424,-0.47517296,-0.72068334,-1.1420026,-1.3597585,-1.549365,-1.8832943,-2.2727434,-2.7740354,-3.1491241,-3.5253676,-4.0809902,-4.1568295,-3.2354265,-2.1468359,2,1,0,1
-3.0533051,-3.6221729,-3.5693527,-2.4353093,-1.7764959,-1.9347768,-1.5713773,-0.89075287,0.36053861,0.50600467,-0.15761016,0.36386582,0.04026874,-0.40149236,-0.19290629,-1.1786673,-1.4325228,-0.56021485,-0.24622327,-0.58476333,-1.2396913,-0.67060285,-0.59916957,-0.8070023,-1.3106677,-1.7024485,-1.6221464,-0.86956415,-0.31821313,-0.54872989,-0.99647513,-1.2456617,-0.5566385,-0.79321319,-0.80803733,-0.33764489,0.39550725,0.32046874,0.16363045,-0.11850836,0.2705761,0.84385532,0.72686827,0.65479694,0.074700991,-0.32461341,0.48843893,-0.086147174,-0.4314048,0.55161703,0.86214884,0.27264573,-0.054713539,0.016102728,-0.070008812,-0.34098573,-0.56963144,0.35975553,0.52584985,-0.51790878,-0.16111364,-0.39657819,-1.0249513,-0.21107491,-0.0093216972,0.30759391,-0.55851084,-0.93073892,0.17471792,0.08618439,0.47206171,0.81035223,0.97982678,0.26060241,0.041532139,-0.080379106,0.62069005,1.7111995,1.0953209,1.1830694,0.74100825,0.30009833,1.1902827,1.4726515,0.64077567,1.1209065,1.1353614,0.28289909,-0.034745979,0.36575832,0.37206034,0.24707635,0.43480915,0.15788967,0.56833924,0.93500172,1.3218715,2.0407551,1.8378017,1.9577851,2.3650564,1.0118015,0.60278449,1.5679334,1.523047,0.90805408,0.84902857,1.0803276,0.69338251,-0.065950283,0.51485157,0.30170116,0.066869633,0.47876815,0.14256906,-0.068419721,0.0044032202,0.055178611,-0.5571676,-0.54764328,0.49814696,0.92783341,1.014131,0.86240834,0.049012977,-1.0611341,-0.20115262,-0.19370149,0.39814613,1.3777927,1.0023791,0.40468409,0.525906,0.22837612,-0.36076806,-0.94270092,-0.74463485,-0.64085464,-1.6350707,-1.1441128,1,0,0,1
-1.2312705,-1.6132898,-1.767079,-1.9571294,-2.1097039,-2.0488546,-1.7955729,-1.3879453,-0.98395458,-0.871842,-0.77586498,-0.52612679,-0.34102538,-0.31266445,-0.27450072,-0.31642281,-0.31891352,-0.32008742,-0.31874203,-0.28743959,-0.33893884,-0.39744827,-0.33937029,-0.3036278,-0.25696669,-0.27740401,-0.21129468,-0.23669432,-0.32255087,-0.35501902,-0.35717662,-0.31533342,-0.30567577,-0.28647374,-0.26547868,-0.27161628,-0.29302762,-0.27033491,-0.2706887,-0.30227366,-0.30654357,-0.27211021,-0.24118985,-0.26499182,-0.21265684,-0.22765181,-0.18884533,-0.20516799,-0.29037384,-0.29513848,-0.24497949,-0.20526263,-0.15101989,-0.13429609,-0.14005898,-0.13199153,-0.096788817,-0.11786134,-0.12616905,-0.062639206,-0.07738472,-0.066624512,-0.040939567,-0.13235234,-0.14001101,-0.1494529,-0.10829844,-0.1122119,-0.18402623,-0.13934793,-0.09378304,-0.15011832,-0.17383602,-0.17071146,-0.1264162,-0.12776956,-0.16766289,-0.2189499,-0.20727727,-0.21702698,-0.1782203,-0.1444333,-0.11386129,-0.13148966,-0.11869381,-0.061035039,-0.080254474,-0.047851758,0.027226771,0.0031174877,-0.0028676567,0.025949537,0.072439583,0.067626084,0.10331711,0.1602847,0.2297866,0.16692471,0.14127636,0.14900996,0.11752495,0.14996977,0.15333498,0.14700318,0.19700773,0.21723476,0.28101035,0.31891488,0.35648409,0.51586362,0.58133508,0.67321535,0.74540354,0.80159763,0.95290673,1.1398169,1.2931713,1.3966942,1.5458376,1.6950101,1.9577059,2.1850788,2.3946022,2.5522922,2.7508443,2.8539163,2.7016483,2.4295543,2.3298821,1.9786186,1.448924,1.2956618,1.1489799,1.0880007,0.60804116,-0.71161533,-1.896568,-2.5665289,-2.9160009,-2.924864,2,1,0,1
2.169973,1.5961585,0.3687589,-1.0972249,-2.1552032,-2.7352585,-2.7715162,-2.4762885,-2.3483901,-2.1674985,-1.6766057,-1.1408023,-0.70644516,-0.53901395,-0.49513318,-0.18763013,0.16517077,0.33739703,0.38328424,0.38627267,0.3850852,0.41643139,0.48935466,0.44307098,0.34412017,0.37209391,0.37444514,0.37610987,0.43280224,0.37636229,0.35763578,0.36448541,0.25628211,0.33274482,0.41097778,0.31476236,0.29776392,0.23579501,0.1851584,0.2353965,0.19767881,0.17216791,0.19317321,0.1350739,0.083409123,0.065804821,0.037842523,-0.024440275,-0.03671692,-0.023924628,-0.11060863,-0.14659194,-0.10669079,-0.15597611,-0.18876165,-0.2071003,-0.24555722,-0.22232677,-0.2145156,-0.21403624,-0.17547664,-0.14374114,-0.082453084,-0.0614769,-0.050175636,0.010898697,0.020406173,0.037450111,0.092616925,0.12900583,0.13750976,0.26323431,0.4124292,0.47393917,0.51033329,0.48815737,0.53404301,0.55931874,0.57029314,0.63280087,0.61140977,0.6382161,0.68583251,0.6350033,0.7125076,0.7754302,0.64119753,0.54733283,0.62498915,0.68561417,0.58878787,0.58671798,0.59087585,0.62396399,0.65772486,0.66956486,0.78499647,0.72344449,0.68298528,0.71534456,0.64564935,0.6955678,0.76915119,0.7436696,0.74500453,0.76197256,0.87252508,0.8765654,0.90955626,0.97473443,0.86528282,0.88861875,0.89007742,0.82600084,0.76212824,0.60746521,0.5232983,0.53327668,0.51067379,0.46184515,0.32720429,0.13571555,0.04692802,-0.14004611,-0.15981265,0.044670587,-0.13107975,-0.47361868,-0.91060371,-1.4739837,-1.9925342,-2.4198004,-2.8116592,-3.3541421,-3.6047863,-3.1693956,-2.4120172,-1.089617,-0.33141144,0.61708765,2,1,1,1
1.7479944,1.6433088,1.1394659,0.43806209,-0.14269548,-0.49180301,-0.82548285,-1.3106565,-1.5061636,-1.4749388,-1.1788422,-0.79994749,-0.61487749,-0.44373291,-0.35632687,-0.32826932,-0.19102101,0.26261657,0.62699297,0.5900499,0.52758889,0.54123648,0.59561813,0.60711718,0.57819616,0.56281969,0.52391914,0.50796381,0.4960459,0.46915129,0.47949928,0.49281364,0.51540456,0.5044222,0.43291066,0.42743079,0.41425024,0.43245453,0.50868591,0.44606438,0.32752241,0.33688028,0.39867877,0.40470192,0.38339339,0.42378444,0.39712122,0.30916685,0.32874665,0.28833739,0.27640189,0.26963496,0.17153417,0.21373528,0.27141647,0.19505992,0.14837993,0.19589194,0.16938746,0.15171441,0.12745593,-0.0016119289,0.026406862,0.027718118,-0.059452303,0.027452821,0.084307006,-0.025178337,-0.068022368,0.017733144,0.0025320704,-0.035160117,-0.0046224783,0.0088251461,0.043753054,0.065114891,0.089187842,0.12501575,0.12961645,0.15543762,0.18747587,0.21726529,0.30075364,0.35269407,0.34303619,0.35890354,0.41483791,0.42945021,0.41657427,0.49187695,0.49361102,0.46878116,0.4921287,0.51035319,0.54909771,0.51135669,0.55163052,0.60184391,0.5902188,0.63435504,0.58760883,0.54025898,0.6138214,0.62022303,0.6141078,0.63039798,0.65394263,0.67123438,0.59276245,0.63172983,0.6304432,0.62326387,0.669401,0.6269711,0.66453499,0.64513953,0.62166483,0.621635,0.52511092,0.35622326,0.22748917,0.24583356,0.20384359,0.014192941,-0.27239304,-0.53323915,-0.69213955,-0.97035546,-1.303656,-1.4200766,-1.5132138,-1.9315409,-2.2381111,-2.6073236,-3.0582365,-3.261025,-3.876786,-3.6321271,-4.5638245,-3.1193557,2,1,0,1
0.75660741,0.18166269,0.14384167,-0.15851676,-0.31575659,-0.3572463,-0.31347602,-0.12059534,0.088322599,0.39351063,0.78277551,1.0329631,1.0985206,1.1360885,1.2424237,1.4311969,1.5492243,1.5141149,1.5169574,1.5324112,1.5025998,1.5192484,1.5032612,1.5224437,1.5803073,1.5652787,1.5935772,1.5744627,1.4870583,1.5325654,1.5358171,1.4478317,1.4404337,1.4389942,1.3992288,1.33192,1.1140621,0.75527747,0.42246117,0.19884248,0.088322599,0.055566849,0.0096093802,-0.023756943,-0.020467952,-0.069543781,-0.12839551,-0.094860211,-0.098175488,-0.16909045,-0.14313867,-0.11417843,-0.17588302,-0.23184281,-0.27921257,-0.213231,-0.1292585,-0.20044342,-0.20270129,-0.15348603,-0.22250755,-0.26488831,-0.26981236,-0.25810681,-0.23804905,-0.28241963,-0.29807057,-0.2512532,-0.23804905,-0.23849625,-0.22314664,-0.19695576,-0.20696604,-0.22703046,-0.19023592,-0.17597575,-0.17588302,-0.09219798,-0.041416312,-0.051793274,-0.036009459,-0.03825433,-0.067005346,-0.057905922,-0.051550966,-0.073650317,-0.086805012,-0.10542752,-0.14480001,-0.1399947,-0.097409413,-0.078062118,-0.082633981,-0.06287326,-0.019699284,-0.0020308244,-0.020467952,-0.013754673,0.021073352,0.023977258,-0.0049264444,-0.034016748,-0.088957135,-0.13764014,-0.1292585,-0.091352731,-0.057960458,-0.023337576,-0.020467952,-0.034333538,-0.027612906,-0.040930207,-0.036009459,0.014661589,-0.039384513,-0.16486807,-0.22250755,-0.2084116,-0.12561185,-0.048339483,-0.082633981,-0.1525527,-0.21298677,-0.32812089,-0.48671317,-0.56095906,-0.54905635,-0.58840872,-0.68875276,-0.82136831,-1.1251669,-1.442033,-1.9009903,-2.48094,-2.8946944,-3.6761164,-3.8903033,-3.5348589,-3.742459,-1.3496157,2,1,0,1
